Author Salesforce Affiliation number,Type of Publication,Number,Affiliate Author (First Name),Affiliate Author (Middle),Affiliate Author (Last Name),All Authors,Publication Title,Journal or Publisher title,Forthcoming,Volume number,Issue number,Page numbers,Quarter/Month,Working paper number (if applicable),Book title (if applicable),Year,Link,Note,Note2,Unsure/question,RB reviewed?,Citation,Topic Tag,Region Tag,Countries,Program Tag,Abstract,Sub-tags,When collected?,Column1,Page_Header,Effective date,FA in All Authors,All_Authors_CC,Citation_Final
,Journal Article,68,Sebastian,,Bauhoff,Sebastian Bauhoff; Jonah Busch,Does Deforestation Increase Malaria Prevalence? Evidence from Satellite Data and Health Surveys,World Development,,127.0,,,,104734,,2020,"https://www.sciencedirect.com/science/article/pii/S0305750X19303833#:~:text=Deforestation%20can%20increase%20malaria%20risk%20factors%20such%20as,socio-economic%20changes%20that%20affect%20malaria%20rates%20in%20humans.",,,,,,,,,,,,Summer - Maceo,,abstract author,01/01/2020,Yes,Bauhoff Sebastian and Jonah Busch,"Bauhoff Sebastian and Jonah Busch. 2020. Does Deforestation Increase Malaria Prevalence? Evidence from Satellite Data and Health Surveys. World Development 127.0, no. nan (nan): nan."
,Journal Article,99,Dan,,Levy,Jean Arkedis; Jessica Creighton; Akshay Dixit; Archon Fung; Stephen Kosack; Dan Levy; Courtney Tolmie,Can transparency and accountability programs improve health? Experimental evidence from Indonesia and Tanzania,World Development,,142.0,,,June,,,2021,https://www.sciencedirect.com/science/article/pii/S0305750X20304976,,,,,,,,,,,,Summer - Maceo,,abstract author,06/01/2021,Yes,"Arkedis Jean, Jessica Creighton, Akshay Dixit, Archon Fung, Stephen Kosack, Dan Levy and Courtney Tolmie","Arkedis Jean, Jessica Creighton, Akshay Dixit, Archon Fung, Stephen Kosack, Dan Levy and Courtney Tolmie. 2021. Can transparency and accountability programs improve health? Experimental evidence from Indonesia and Tanzania. World Development 142.0, no. nan (June): nan."
,Journal Article,85,Melani,,Cammett,Melani Cammett; Aytuğ Şaşmaz,"Political Context, Organizational Mission, and the Quality of Social Services: Insights from the Health Sector in Lebanon",World Development,No,98.0,,120-132,October,,,2017,https://www.sciencedirect.com/science/article/pii/S0305750X17301304,No issue number.,,,,,,,,,,,Kiki - 10/8/23 batch,,abstract author,10/01/2017,Yes,Cammett Melani and Aytuğ Şaşmaz,"Cammett Melani and Aytuğ Şaşmaz. 2017. Political Context, Organizational Mission, and the Quality of Social Services: Insights from the Health Sector in Lebanon. World Development 98.0, no. nan (October): 120-132."
,Journal Article,29,Shawn,A,Cole,Martin Abel; Shawn Cole; Bilal Zia,Changing Gambling Behavior through Experiential Learning,World Bank Economic Review,No,35.0,3,745-763,October,,,2021,https://academic.oup.com/wber/article-abstract/35/3/745/5857581?redirectedFrom=fulltext,,,,,,,,,,,,Summer - Kiki,,chapter-para,10/01/2021,Yes,"Abel Martin, Shawn Cole and Bilal Zia","Abel Martin, Shawn Cole and Bilal Zia. 2021. Changing Gambling Behavior through Experiential Learning. World Bank Economic Review 35.0, no. 3 (October): 745-763."
,Journal Article,29,Shawn,A,Cole,Fenella Carpena; Shawn Cole; Jeremy Shapiro; Bilal Zia,Liability Structure in Small-Scale Finance: Evidence from a Natural Experiment,World Bank Economic Review,No,27.0,3,437-469,,,,2013,https://academic.oup.com/wber/article-abstract/27/3/437/1633511,No quarter/month.,,,,,,,,,,,Summer - Kiki,,chapter-para,01/01/2013,Yes,"Carpena Fenella, Shawn Cole, Jeremy Shapiro and Bilal Zia","Carpena Fenella, Shawn Cole, Jeremy Shapiro and Bilal Zia. 2013. Liability Structure in Small-Scale Finance: Evidence from a Natural Experiment. World Bank Economic Review 27.0, no. 3 (nan): 437-469."
,Journal Article,65,Pol,,Antras,Pol Antràs,Conceptual Aspects of Global Value Chains,World Bank Economic Review,,34.0,3,551-574,October,,,2020,https://elibrary.worldbank.org/doi/10.1093/wber/lhaa006,,,,,,,,,,,,Summer - Maceo,,,10/01/2020,No,Antràs Pol,"Antràs Pol. 2020. Conceptual Aspects of Global Value Chains. World Bank Economic Review 34.0, no. 3 (October): 551-574."
,Journal Article,70,William,R.,Kerr,William R. Kerr,Heterogeneous Technology Diffusion and Ricardian Trade Patterns,World Bank Economic Review,,32.0,1,163-182,Febuary,,,2018,https://openknowledge.worldbank.org/entities/publication/ed780c68-86c0-5ff5-872e-fdcd04a516b9,,,,,,,,,,,,Summer - Maceo,,,,Yes,Kerr William R.,"Kerr William R.. 2018. Heterogeneous Technology Diffusion and Ricardian Trade Patterns. World Bank Economic Review 32.0, no. 1 (Febuary): 163-182."
,Journal Article,70,William,R.,Kerr,Ejaz Ghani; Arti Grover Goswami; William R. Kerr,Highways and Spatial Location within Cities: Evidence from India,World Bank Economic Review,,30.0,1,S97–S108,March,,,2017,https://academic.oup.com/wber/article/30/Supplement_1/S97/2897427,,,,,,,,,,,,Summer - Maceo,,chapter-para,03/01/2017,Yes,"Ghani Ejaz, Arti Grover Goswami and William R. Kerr","Ghani Ejaz, Arti Grover Goswami and William R. Kerr. 2017. Highways and Spatial Location within Cities: Evidence from India. World Bank Economic Review 30.0, no. 1 (March): S97–S108."
,Journal Article,80,Carmen,,Reinhart,Carmen M. Reinhart; Vincent R. Reinhart ,"Financial Crises, Development, and Growth: A Long-term Perspective",World Bank Economic Review,,29.0,1,1-24,April,,,2015,https://academic.oup.com/wber/article/29/suppl_1/S53/1687063,,,,,,,,,,,,Summer - Maceo,,chapter-para,04/01/2015,Yes,Reinhart Carmen M. and Vincent R. Reinhart,"Reinhart Carmen M. and Vincent R. Reinhart. 2015. Financial Crises, Development, and Growth: A Long-term Perspective. World Bank Economic Review 29.0, no. 1 (April): 1-24."
,Journal Article,31,Kevin,,Croke,"Donald A P Bundy; Laura J Appleby; Mark Bradley; Kevin Croke; T Deirdre Hollingsworth; Rachel Pullan; Hugo C Turner; Nilanthi de Silva;
Donald A P Bundy; Nilanthi de Silva; Susan Horton; Dean T. Jamison; George C. Patton",Deworming Programs in Middle Childhood and Adolescence,World Bank,No,8.0,3,165-182,November,,,2017,https://pubmed.ncbi.nlm.nih.gov/30212135/,,,,,,,,,,,,Summer - Kiki,,abstract-content selected,11/01/2017,Yes,"Bundy Donald A P, Laura J Appleby, Mark Bradley, Kevin Croke, T Deirdre Hollingsworth, Rachel Pullan, Hugo C Turner, Nilanthi de Silva, Donald A P Bundy, Nilanthi de Silva, Susan Horton, Dean T. Jamison and George C. Patton","Bundy Donald A P, Laura J Appleby, Mark Bradley, Kevin Croke, T Deirdre Hollingsworth, Rachel Pullan, Hugo C Turner, Nilanthi de Silva, Donald A P Bundy, Nilanthi de Silva, Susan Horton, Dean T. Jamison and George C. Patton. 2017. Deworming Programs in Middle Childhood and Adolescence. World Bank 8.0, no. 3 (November): 165-182."
,Book,85,Melani,,Cammett,Melani Cammett; Tamer Rabie; Samira Towfighian; Cari Clark,"Accountability, the Last Mile on the Route to Quality Service Delivery",World Bank,No,,,,,,Evidence from Jordanian Schools and Primary Health Centers,,https://elibrary.worldbank.org/doi/epdf/10.1596/25407,No quarter/month or year.,,,,,,,,,,,Kiki - 10/8/23 batch,,pdf,01/01/nan,Yes,"Cammett Melani, Tamer Rabie, Samira Towfighian and Cari Clark","Cammett Melani, Tamer Rabie, Samira Towfighian and Cari Clark. Accountability, the Last Mile on the Route to Quality Service Delivery.: World Bank."
,Book Chapter,16,Sarah,,Dryden-Peterson,Karen Mundy; Andy Green; Bob Lingard; Antoni Verger,Policies for education in conflict and post-conflict reconstruction,Wiley-Blackwell,No,,,189-205,March,,Handbook of Global Policy-Making in Education,2016,https://onlinelibrary.wiley.com/doi/10.1002/9781118468005.ch10,,,,,,,,,,,,Summer - Kiki,,,03/01/2016,No,"Mundy Karen, Andy Green, Bob Lingard and Antoni Verger",Issue in Author Name
,Working Paper,88,Karen,,Dynan,Jason Brown; Karen Dynan; Theodore Figinski,The Risk of Financial Hardship in Retirement: A Cohort Analysis,Wharton Pension Research Council Working Paper,,,,,September,,,2020,https://academic.oup.com/book/33535/chapter/287891683,,,,,,,,,,,,Summer - Maceo,,chapter-para,09/01/2020,Yes,"Brown Jason, Karen Dynan and Theodore Figinski","Brown Jason, Karen Dynan and Theodore Figinski. The Risk of Financial Hardship in Retirement: A Cohort Analysis. Working Paper no. nan. Wharton Pension Research Council Working Paper. 2020."
,Book Chapter,85,Melani,,Cammett,Melani Cammett,Epilogue: A Political Economy of the Arab Uprisings,Westview Press,No,,3,,January,,A Political Economy of the Middle East,2013,https://www.researchgate.net/publication/261552187_Epilogue_A_Political_Economy_of_the_Arab_Uprisings,No volume or page number.,,,,,,,,,,,Kiki - 10/8/23 batch,,,01/01/2013,Yes,Cammett Melani,"Cammett Melani. 2013. ""Epilogue: A Political Economy of the Arab Uprisings"" in A Political Economy of the Middle East. Vol. No.: nan: Westview Press."
 ,Journal Article,94,Phyllis,,Kanki,G O Osaigbovo; G A Amusa; A J Salaam; L C Imoh; E N Okeke; A I Zoakah; P Kanki; S A Sagay,"Predictors and Prognosis of Stroke in Jos, North-Central Nigeria",West African Journal of Medicine,,38.0,5,478-485,May,,,2021,https://pubmed.ncbi.nlm.nih.gov/34051721/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,05/01/2021,Yes,"Osaigbovo G O, G A Amusa, A J Salaam, L C Imoh, E N Okeke, A I Zoakah, P Kanki and S A Sagay","Osaigbovo G O, G A Amusa, A J Salaam, L C Imoh, E N Okeke, A I Zoakah, P Kanki and S A Sagay. 2021. Predictors and Prognosis of Stroke in Jos, North-Central Nigeria. West African Journal of Medicine 38.0, no. 5 (May): 478-485."
,Chapter,76,Jeffry,,Frieden,Jeffry Frieden,Make friends and influence people: Confronting international financial instabiliy requires cooperation,Washington: Miller Center of Public Affairs,,10.0,,,,,The Uncertain Future of Globalization,2017,https://scholar.harvard.edu/files/jfrieden/files/frieden2017_uncertainfuture_ch.pdf,,No good Links,Publisher title?,,,,,,,,,Summer - Maceo,,pdf,01/01/2017,Yes,Frieden Jeffry,Skipped
,Media Article,85,Melani,,Cammett,Melani Cammett; Dominika Kruszewska; Sami Attalah,What Lebanon’s Elections Can Teach Us About the Importance of Religion in Elections,Washington Post,No,,,,May,,,2018,https://www.washingtonpost.com/news/monkey-cage/wp/2018/05/05/what-lebanons-elections-can-teach-us-about-the-importance-of-religion/,"No volume, issue, or page number.",Monkey Cage Blog,,,,,,,,,,Kiki - 10/8/23 batch,,,05/01/2018,Yes,"Cammett Melani, Dominika Kruszewska and Sami Attalah","Cammett Melani, Dominika Kruszewska and Sami Attalah. 2018. What Lebanon’s Elections Can Teach Us About the Importance of Religion in Elections. Washington Post, nan."
,Media Article,85,Melani,,Cammett,Melani Cammett,How Hezbollah helps (and what it gets out of it),Washington Post,No,,,,October,,,2014,https://www.washingtonpost.com/news/monkey-cage/wp/2014/10/02/how-hezbollah-helps-and-what-it-gets-out-of-it/,"No volume, issue, or page number.",Monkey Cage Blog,,,,,,,,,,Kiki - 10/8/23 batch,,,10/01/2014,Yes,Cammett Melani,"Cammett Melani. 2014. How Hezbollah helps (and what it gets out of it). Washington Post, nan."
,Media Article,17,Rema,,Hanna,Muhamad Chatib Basri; Mayara Felix; Rema Hanna; Ben Olken,Is Improving Tax Administration More Effective than Raising Tax Rates? Evidence from Indonesia,VoxDev,No,,,,December,,,2020,https://voxdev.org/topic/public-economics/improving-tax-administration-more-effective-raising-tax-rates-evidence-indonesia,,,,,,,,,,,,Summer - Kiki,,,12/01/2020,Yes,"Basri Muhamad Chatib, Mayara Felix, Rema Hanna and Ben Olken","Basri Muhamad Chatib, Mayara Felix, Rema Hanna and Ben Olken. 2020. Is Improving Tax Administration More Effective than Raising Tax Rates? Evidence from Indonesia. VoxDev, nan."
,Media Article,17,Rema,,Hanna,Abhijit Banerjee; Amy Finkelstein; Rema Hanna; Ben Olken; Arianna Ornaghi; Sudarno Sumarto,The Challenges of Universal Health Insurance in Indonesia,VoxDev,No,,,,November,,,2019,https://voxdev.org/topic/health-education/challenges-universal-health-insurance-indonesia,,,,,,,,,,,,Summer - Kiki,,,11/01/2019,Yes,"Banerjee Abhijit, Amy Finkelstein, Rema Hanna, Ben Olken, Arianna Ornaghi and Sudarno Sumarto","Banerjee Abhijit, Amy Finkelstein, Rema Hanna, Ben Olken, Arianna Ornaghi and Sudarno Sumarto. 2019. The Challenges of Universal Health Insurance in Indonesia. VoxDev, nan."
,Media Article,17,Rema,,Hanna,Rema Hanna; Vestal McIntyre,Research offers new possibilities for cutting corruption in the public sector,VoxDev,No,,,,December,,,2018,https://epod.cid.harvard.edu/article/new-possibilities-cutting-corruption-public-sector,,,,,,,,,,,,Summer - Kiki,,,12/01/2018,Yes,Hanna Rema and Vestal McIntyre,"Hanna Rema and Vestal McIntyre. 2018. Research offers new possibilities for cutting corruption in the public sector. VoxDev, nan."
,Media Article,17,Rema,,Hanna,Rema Hanna; Vestal McIntyre,Jakarta’s Maligned Congestion-easing Policy Actually Worked,VoxDev,No,,,,October,,,2017,https://voxdev.org/topic/infrastructure-urbanisation/jakarta-s-maligned-congestion-easing-policy-actually-worked,,,,,,,,,,,,Summer - Kiki,,,10/01/2017,Yes,Hanna Rema and Vestal McIntyre,"Hanna Rema and Vestal McIntyre. 2017. Jakarta’s Maligned Congestion-easing Policy Actually Worked. VoxDev, nan."
,Media Article,17,Rema,,Hanna,Rema Hanna; Vestal McIntyre,Implementation ups and downs: Monitoring attendance to improve public services for the poor in India,VoxDev,No,,,,July,,,2017,https://voxdev.org/topic/health-education/implementation-ups-and-downs-monitoring-attendance-improve-public-services-poor-india,,,,,,,,,,,,Summer - Kiki,,,07/01/2017,Yes,Hanna Rema and Vestal McIntyre,"Hanna Rema and Vestal McIntyre. 2017. Implementation ups and downs: Monitoring attendance to improve public services for the poor in India. VoxDev, nan."
,Media Article,33,Juan,,Saavedra,Felipe Barrera-Osorio; Leigh Linden; Juan Saavedra,The Role of Disbursement Timing in Conditional Cash Transfer Programmes: Long-term Effects,VoxDev,No,,,,November,,,2017,"https://voxdev.org/topic/public-economics/role-disbursement-timing-conditional-cash-transfer-programmes-long-term-effects#:~:text=In%20a%20recent%20paper%2C%20we%20explore%20the%20long-term,lead%20to%20long-term%20effects%20in%20tertiary%20education%20enrolment.",,,,,,,,,,,,Summer - Kiki,,,11/01/2017,Yes,"Barrera-Osorio Felipe, Leigh Linden and Juan Saavedra","Barrera-Osorio Felipe, Leigh Linden and Juan Saavedra. 2017. The Role of Disbursement Timing in Conditional Cash Transfer Programmes: Long-term Effects. VoxDev, nan."
,Media Article,23,David,Y,Yang,Noam Yuchtman; Andrew Kao; David Y. Yang; Martin Beraja,Autocratic AI dystopias: From science fiction to social science fact,Vox CEPR,No,,,,December,,,2021,https://cepr.org/voxeu/columns/autocratic-ai-dystopias-science-fiction-social-science-fact,,,,,,,,,,,,Summer - Kiki,,,12/01/2021,Yes,"Yuchtman Noam, Andrew Kao, David Y. Yang and Martin Beraja","Yuchtman Noam, Andrew Kao, David Y. Yang and Martin Beraja. 2021. Autocratic AI dystopias: From science fiction to social science fact. Vox CEPR, nan."
,Media Article,23,David,Y,Yang,David Y. Yang; Gérard Roland,Cultural change and intergenerational transmission: Some lessons from China’s Cultural Revolution,Vox CEPR,No,,,,August,,,2017,https://cepr.org/voxeu/columns/cultural-change-and-intergenerational-transmission-some-lessons-chinas-cultural,,,,,,,,,,,,Summer - Kiki,,,08/01/2017,Yes,Yang David Y. and Gérard Roland,"Yang David Y. and Gérard Roland. 2017. Cultural change and intergenerational transmission: Some lessons from China’s Cultural Revolution. Vox CEPR, nan."
,Media Article,17,Rema,,Hanna,Rema Hanna; Oliva Paulina,Building the Evidence Base for Developing Countries: An Example from the Effect of Pollution on Infant Health in Mexico,VOX,No,,,,April,,,2016,https://voxeu.org/article/air-pollution-and-infant-health,,,,,,,,,,,,Summer - Kiki,,,04/01/2016,Yes,Hanna Rema and Oliva Paulina,"Hanna Rema and Oliva Paulina. 2016. Building the Evidence Base for Developing Countries: An Example from the Effect of Pollution on Infant Health in Mexico. VOX, nan."
,Journal Article,126,David,,Kennedy,David W. Kennedy,Global Governance in Crisis Time,Vital Interests,,,,,June,,,2018,https://www.centeronnationalsecurity.org/vital-interests-issue-37-david-kennedy,,,,,,,,,,,,Summer - Maceo,,,06/01/2018,Yes,Kennedy David W.,"Kennedy David W.. 2018. Global Governance in Crisis Time. Vital Interests nan, no. nan (June): nan."
,Journal Article,118,Shakhar,,Sexana,Shailendra K Saxena; Swatantra Kumar; Preeti Baxi; Nishant Srivastava; Bipin Puri; R K Ratho,Chasing COVID-19 through SARS-CoV-2 spike glycoprotein,Virusdiseases,,31.0,4,399-407,December,,,2020,https://pubmed.ncbi.nlm.nih.gov/33313362/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,12/01/2020,No,"Saxena Shailendra K, Swatantra Kumar, Preeti Baxi, Nishant Srivastava, Bipin Puri and R K Ratho","Saxena Shailendra K, Swatantra Kumar, Preeti Baxi, Nishant Srivastava, Bipin Puri and R K Ratho. 2020. Chasing COVID-19 through SARS-CoV-2 spike glycoprotein. Virusdiseases 31.0, no. 4 (December): 399-407."
,Journal Article,122,Emiliana,,Vegas,Kwame Akyeampong; Emiliana Vegas; Freda Wolfenden; Kaitlynn Saldanha; Haifa Dia Al-Attia; Brett Wigdortz; Evelyn Oduro; Jose Weinstein,Qualities of Effective Teachers Who Teach Disadvantaged Students: Insights from the Varkey Teacher Ambassador Community,"Varkey Foundation Alliances, Global Education & Skills Forum, Research for Equitable Access and Learning",,,,,,,,2018,"https://oro.open.ac.uk/54051/#:~:text=This%20study%20investigates%20the%20qualities%2C%20mindsets%20and%20behaviours,to%20attract%2C%20develop%2C%20and%20retain%20effective%20teachers%20to",,,,,,,,,,,,Summer - Maceo,,,01/01/2018,Yes,"Akyeampong Kwame, Emiliana Vegas, Freda Wolfenden, Kaitlynn Saldanha, Haifa Dia Al-Attia, Brett Wigdortz, Evelyn Oduro and Jose Weinstein","Akyeampong Kwame, Emiliana Vegas, Freda Wolfenden, Kaitlynn Saldanha, Haifa Dia Al-Attia, Brett Wigdortz, Evelyn Oduro and Jose Weinstein. 2018. Qualities of Effective Teachers Who Teach Disadvantaged Students: Insights from the Varkey Teacher Ambassador Community. Varkey Foundation Alliances, Global Education & Skills Forum, Research for Equitable Access and Learning nan, no. nan (nan): nan."
,Journal Article,21,Stephane,,Verguet,Nathaniel Hendrix; David L. Veenstra; Mindy Cheng; Nicholas C. Anderson; Stéphane Verguet,Assessing the Economic Value of Clinical Artificial Intelligence: Challenges and Opportunities,Value in Health,No,25.0,3,331-339,March,,,2022,https://www.sciencedirect.com/science/article/pii/S1098301521017435,,,,,,,,,,,,Summer - Kiki,,abstract author,03/01/2022,Yes,"Hendrix Nathaniel, David L. Veenstra, Mindy Cheng, Nicholas C. Anderson and Stéphane Verguet","Hendrix Nathaniel, David L. Veenstra, Mindy Cheng, Nicholas C. Anderson and Stéphane Verguet. 2022. Assessing the Economic Value of Clinical Artificial Intelligence: Challenges and Opportunities. Value in Health 25.0, no. 3 (March): 331-339."
