Original,Mapped_name
"Ash Center Democratic Governance 
and Innovation",Ash Center for Democratic Governance and Innovation
Aspen Institute,Aspen Institute
Assessing the Performance Advantage of Public-Private Partnerships,Assessing the Performance Advantage of Public-Private Partnerships
Australian National University Press,Australian National University Press
Banking Perspectives,Banking Perspectives
Bayesian Analysis,Bayesian Analysis
Becker Friedman Institute for Economics Working Paper,Becker Friedman Institute for Economics Working Paper
Behavioral Ecology and Sociobiology,Behavioral Ecology and Sociobiology
Behavioral Science & Policy,Behavioral Science & Policy
Belfer Center for Science and International Affairs,Belfer Center for Science and International Affairs
Berrett-Koehler Publishers,Berrett-Koehler Publishers
"Better Than Cash 
Alliance, United Nations Capital Development Fund","Better Than Cash Alliance, United Nations Capital Development Fund"
Bill and Melinda Gates Foundation,Bill and Melinda Gates Foundation
Biometrika,Biometrika
BJOG,BJOG
Blood,Blood
Blood Advances,Blood Advances
BMC Cardiovascular Disorder,BMC Cardiovascular Disorder
BMC Family Practice,BMC Family Practice
BMC Health Services Research,BMC Health Services Research
BMC Heath Service Reseach,BMC Heath Service Reseach
BMC Helath Services Research,BMC Helath Services Research
BMC Infectious Diseases,BMC Infectious Diseases
BMC Medical Infornmatics and Decision making,BMC Medical Infornmatics and Decision making
BMC Medicine,BMC Medicine
BMC Microbiology,BMC Microbiology
BMC Pregnancy and Childbirth,BMC Pregnancy and Childbirth
BMC Pregnancy Childbirth,BMC Pregnancy and Childbirth
BMC Public Health,BMC Public Health
BMC Public Helath,BMC Public Health
BMJ,BMJ
BMJ Case Report,BMJ Case Reports
BMJ Case Reports,BMJ Case Reports
BMJ Global Health,BMJ Global Health
BMJ Open,BMJ Open
BMJ Open 12,BMJ Open
"BMJ Open
",BMJ Open
BMJ Paediatrics Open,BMJ Paediatrics Open
BMJ Quality and Safety,BMJ Quality and Safety
Boimetrika,Biometrika
Brill,Brill
British Journal of Cancer,British Journal of Cancer
British Journal of Haematology,British Journal of Haematology
British Journal of Industrial Relations,British Journal of Industrial Relations
British Journal of Political Science,British Journal of Political Science
British Journal of Sociology of Education,British Journal of Sociology of Education
Brookings,Brookings
Brookings Chalkboard,Brookings Chalkboard
Brookings Institution Press,Brookings Institution Press
Brookings Papers on Economic Activity,Brookings Papers on Economic Activity
Brown University EdWorking Paper,Brown University EdWorking Paper
Bruegel,Bruegel
Built Environment Project and Asset Management,Built Environment Project and Asset Management
Bulletin of the World Health Organization,Bulletin of the World Health Organization
Business Economics,Business Economics
Business History Review,Business History Review
Butterworth-Heinemann,Butterworth-Heinemann
Cadernos de Saude Publica,Cadernos de Saude Publica
"Cambridge Journal of Regions, Economy and Society","Cambridge Journal of Regions, Economy and Society"
Cambridge Press,Cambridge Press
Cambridge University Press,Cambridge University Press
Canadian Journal of Development Studies,Canadian Journal of Development Studies
Cancers,Cancers
Cancers (Basel),Cancers
Cardiovascular Journal of Africa,Cardiovascular Journal of Africa
Cato Journal,Cato Journal
"Caxton Business & Legal, Inc.","Caxton Business & Legal, Inc."
Cengage Learning,Cengage Learning
Center for History and Economics at Harvard,Center for History and Economics at Harvard
"Center for Universal Education, The Brookings Institution",The Brookings Institution Center for Universal Education
Centre for Economic Policy Research: London,Centre for Economic Policy Research
CEPR,Centre for Economic Policy Research
CEPR Discussion Paper,Centre for Economic Policy Research Discussion Papers
CEPR Press,Centre for Economic Policy Research
CESifo Working Paper Series ,CESifo Working Paper Series
Cheltenham: Edward Elgar,Cheltenham: Edward Elgar
Child Abuse & Neglect,Child Abuse & Neglect
Child Development,Child Development
Child Development Perspectives,Child Development Perspectives
"Child: Care, Health and Development","Child: Care, Health and Development"
Children,Children
Children and Youth Services Review,Children and Youth Services Review
China & World Economy,China & World Economy
China Economic Review,China Economic Review
CID Faculty Working Paper Series,CID Faculty Working Paper Series
CID Working Paper,CID Working Papers
CID Working Papers,CID Working Papers
Civil Wars,Civil Wars
Clemens Lecture Series,Clemens Lecture Series
Clinical and Transactional Medicine,Clinical and Transactional Medicine
Clinical Infectious Diseases,Clinical Infectious Diseases
Clinical Microbiology and Infection,Clinical Microbiology and Infection
Clinical Nutrition,Clinical Nutrition
Clinical Psycology Review,Clinical Psycology Review
Cold Spring Harbor Laboratory Press,Cold Spring Harbor Laboratory Press
Columbia University Press,Columbia University Press
Comparative Education,Comparative Education
Comparative Education Review,Comparative Education Review
Comparative Political Studies,Comparative Political Studies
Comparative Politics,Comparative Politics
"Computers in 
Human Behavior",Computers in Human Behavior
Conflict and Health,Conflict and Health
Conflict Management and Peace Science,Conflict Management and Peace Science
Conversions,Conversions
Cornell University,Cornell University
Cornell University Press,Cornell University Press
Cost Effectiveness and Resource Allocation,Cost Effectiveness and Resource Allocation
Council on Foreign Relations,Council on Foreign Relations
CreateSpace,CreateSpace
CrisisReady,CrisisReady
Critical African Studies,Critical African Studies
Current Anthropology,Current Anthropology
Current Biology,Current Biology
Current Developments in Nutrients,Current Developments in Nutrients
Current Directions in Psychological Science,Current Directions in Psychological Science
Current Enviormental Health Reports,Current Enviormental Health Reports
Current Eye Research,Current Eye Research
Current Opinion in Neurobiology,Current Opinion in Neurobiology
Current Opinion in Psychology,Current Opinion in Psychology
Curriculum Inquiry,Curriculum Inquiry
Daedalus,Daedalus
De Gruyter,De Gruyter
Democratization,Democratization
Demography,Demography
Development Engineering,Development Engineering
Developmental Psychology,Developmental Psychology
Diabetes Care,Diabetes Care
Disaster Medicine and Public health prepardness,Disaster Medicine and Public health prepardness
Disasters,Disasters
Discourse Processes,Discourse Processes
Discussion Paper Series,Discussion Paper Series
Dubai Policy Review,Dubai Policy Review
Duke Law and Technology,Duke Law and Technology
"Early Childhood Research 
Quarterly",Early Childhood Research Quarterly
Early Childhood Research Quarterly,Early Childhood Research Quarterly
Eastern Economic Journal,Eastern Economic Journal
EBioMedicine,EBioMedicine
EClinicalMedicine,EClinicalMedicine
EClinicalMedicine The Lancet Discovery Science,EClinicalMedicine - The Lancet Discovery Science
EconoFact,EconoFact
Econometrica,Econometrica
Economía Journal of the Latin American and Caribbean Economic Association,Economía Journal of the Latin American and Caribbean Economic Association
Economic and Political Weekly,Economic and Political Weekly
Economic Development and Cultural Change,Economic Development and Cultural Change
Economic Journal,Economic Journal
Economic Policy,Economic Policy
Economic Research Forum,Economic Research Forum
Economica,Economica
Economics,Economics
Economics & Politics,Economics and Politics
Economics and Politics,Economics and Politics
Economics Letters,Economics Letters
Economics of Education Review,Economics of Education Review
ECPR Press,ECPR Press
Edmund J. Safra Center for Ethics,Edmund J. Safra Center for Ethics
Education and Conflict Review,Education and Conflict Review
Education Finance and Policy,Education Finance and Policy
Education Next,Education Next
Educational Evaluation and Policy Analysis,Educational Evaluation and Policy Analysis
Educational Measurement: Issues and Practice,Educational Measurement: Issues and Practice
Educational Psychology Review,Educational Psychology Review
Educational Researcher,Educational Researcher
Electoral Studies,Electoral Studies
Elementary School Journal,Elementary School Journal
eLife,eLife
Elsevier,Elsevier
Emerald Publishing Limited,Emerald Publishing Limited
Emerging Infectious Diseases,Emerging Infectious Diseases
Emerging Markets Finance and Trade,Emerging Markets Finance and Trade
EMNLP Computational Social Science Workshop,EMNLP Computational Social Science Workshop
Emotion,Emotion
Energy Policy,Energy Policy
"Environment and Natural Resources Program, Belfer Center for Science and 
International Affairs","Environment and Natural Resources Program, Belfer Center for Science and International Affairs"
Environmental Conservation,Environmental Conservation
Environmental Politics,Environmental Politics
Environmental Science & Policy,Environmental Science & Policy
EpiCenter Weatherhead Center for International Affairs,EpiCenter Weatherhead Center for International Affairs
Epidemics,Epidemics
Epidemiology,Epidemiology
ERIC,ERIC
ERID Working Papers,ERID Working Papers
European Economic Review,European Economic Review
European Education,European Education
European Journal of Epidemiology,European Journal of Epidemiology
European Journal of Medicine,European Journal of Medicine
European Journal of Nutrients,European Journal of Nutrients
European Journal of Nutrition,European Journal of Nutrition
European Journal of Preventative Cardiology,European Journal of Preventive Cardiology
European Journal of Preventive Cardiology,European Journal of Preventive Cardiology
European Political Science,European Political Science
European Union Politics,European Union Politics
Evaluation Review: Sage Journal,Evaluation Review
Evolution and Human Behavior,Evolution and Human Behavior
Evolutionary Human Sciences,Evolutionary Human Sciences
Expert Review of Vaccines,Expert Review of Vaccines
Facing History and Ourselves,Facing History and Ourselves
Federal Reserve Bank of Boston Research Department Working Paper,Federal Reserve Bank of Boston Research Department Working Paper
feminists@law,feminists@law
Financial Times,Financial Times
First Language,First Language
Food Policy,Food Policy
Foot,Foot
Foreign Affairs,Foreign Affairs
Foreign Policy,Foreign Policy
Foundation Books,Foundation Books
Frontier,Frontier
Frontier in Aging Neuroscience,Frontier in Aging Neuroscience
Frontier in Immunology,Frontier in Immunology
Frontier in Public Health,Frontiers in Public Health
Frontier Public Health,Frontiers in Public Health
Frontiers in Cardiovascular Medicine,Frontiers in Cardiovascular Medicine
Frontiers in Communication,Frontiers in Communication
Frontiers in Medicine,Frontiers in Medicine
Frontiers in Neuroscience,Frontiers in Neuroscience
Frontiers in Public Health,Frontiers in Public Health
Frontiers un Public Health,Frontiers in Public Health
Future of Children,Future of Children
GLM/LIC Working Paper,GLM/LIC Working Paper
Global Environmental Change,Global Environmental Change
Global Food Security,Global Food Security
Global Health Action,Global Health Action
"Global Health, Science, and Practice",Global Health: Science and Practice
"Global Health. Science, and Practice",Global Health: Science and Practice
Global Health: Science and Practice,Global Health: Science and Practice
Global Mental Health,Global Mental Health
Global Public Health,Global Public Health
Global Strategy Journal,Global Strategy Journal
Globalization & Health,Globalization & Health
"Globalization, Societies, and Education","Globalization, Societies, and Education"
Governance,Governance
Handbook of Behavioral Economics: Applications and Foundations 1,Handbook of Behavioral Economics: Applications and Foundations 1
Handbook of International Economics,Handbook of International Economics
Handbook of International Education,Handbook of International Education
Handbook of Monetary Economics,Handbook of Monetary Economics
Harvard Buisness Review,Harvard Business Review
Harvard Business Publishing,Harvard Business Publishing
Harvard Business Review,Harvard Business Review
Harvard Business Review Digital Articles,Harvard Business Review Digital Articles
Harvard Business Review Press,Harvard Business Review Press
Harvard Business School Case,Harvard Business School Case
Harvard Business School Course Overview Note,Harvard Business School Course Overview Note
Harvard Business School Module Note,Harvard Business School Module Note
Harvard Business School Multimedia/Video Supplement,Harvard Business School Multimedia/Video Supplement
Harvard Business School Publishing,Harvard Business School Publishing
Harvard Business School Spreadsheet Supplement,Harvard Business School Spreadsheet Supplement
Harvard Business School Teaching Note,Harvard Business School Teaching Note
Harvard Business School Teaching Plan,Harvard Business School Teaching Plan
Harvard Business School Technical Note,Harvard Business School Technical Note
Harvard Business School Working Paper,Harvard Business School Working Paper Series
Harvard Business School Working Paper Series,Harvard Business School Working Paper Series
Harvard Education Press,Harvard Education Press
Harvard Educational Review,Harvard Educational Review
Harvard Gazette,Harvard Gazette
Harvard Kenedy School Misinformation Review,Harvard Kennedy School Misinformation Review
Harvard Kennedy School Ash Center Working Paper Series,Harvard Kennedy School Ash Center Working Paper Series
Harvard Kennedy School Conference on Social Innovation,Harvard Kennedy School Conference on Social Innovation
Harvard University Belfer Center Working Paper Series,Harvard University Belfer Center Working Paper Series
Harvard University Belnap Press,Harvard University Belnap Press
Harvard University CID Working Papers Series,Harvard University CID Working Papers Series
Harvard University Press,Harvard University Press
Harvard University Working Paper Series,Harvard University Working Paper Series
HBS Working Paper Series,Harvard Business School Working Paper Series
Health Affairs,Health Affairs
Health and Human Rights,Health and Human Rights
Health and Human Rights Journal,Health and Human Rights
Health Care Management Science,Health Care Management Science
Health Economics,Health Economics
Health Policy and Planning,Health Policy and Planning
Health Policy Plan,Health Policy and Planning
Health Research Policy and Systems,Health Research Policy and Systems
Health Sericev Research,Health Services Research
Health Services Research,Health Services Research
Health Systems & Reform,Health Systems and Reform
Health Systems and Reform,Health Systems and Reform
Health Systems and Reforms,Health Systems and Reform
Heart,Heart
Heart Rhythm,Heart Rhythm
HIV Medicine,HIV Medicine
HKS Faculty Research Working Paper Series,HKS Faculty Research Working Paper Series
HKS Working Paper,HKS Working Paper
Hong Kong Journal of Emergency Medicine,Hong Kong Journal of Emergency Medicine
Human Nature,Human Nature
Human Resources for Health,Human Resources for Health
Human Vaccines & Immunotherapeutics,Human Vaccines & Immunotherapeutics
Human Vaccines and Immunotheraeptics,Human Vaccines & Immunotherapeutics
Human-Computer Interaction,Human-Computer Interaction
Humanities and Social Sciences Communications,Humanities and Social Sciences Communications
Hutchins Center Working Paper,Hutchins Center Working Paper
Ideas for India,Ideas for India
IGC Pakistan,IGC Pakistan
IMAGO Global Grassroots,IMAGO Global Grassroots
IMF Economic Review,IMF Economic Review
IMF Finance and Development Magazine,IMF Finance and Development Magazine
India Review,India Review
Indian Journal of Clinical Biochemestry,Indian Journal of Clinical Biochemestry
Industrial and Labor Relations Review,Industrial and Labor Relations Review
Information and Organization,Information and Organization
"Information, Communication & Society","Information, Communication & Society"
Infrastructure Economics and Policy: International Perspectives,Infrastructure Economics and Policy: International Perspectives
Injury Epidemiology,Injury Epidemiology
Injury Prevention,Injury Prevention
Innovation Policy and the Economy,Innovation Policy and the Economy
Intercultural Eduaction,Intercultural Education
Intereconomics,Intereconomics
International Conference on Document Analysis and Recognition,International Conference on Document Analysis and Recognition
International Conference on Learning Representations,International Conference on Learning Representations
International Cybersecurity Law Review,International Cybersecurity Law Review
International Foundation for Autonomous Agents and Multiagent Systems,International Foundation for Autonomous Agents and Multiagent Systems
International Growth Center Policy Brief,International Growth Center Policy Brief
International Journal for Equity in Health,International Journal for Equity in Health
International Journal for Quality in Helath Care,International Journal for Quality in Health Care
International Journal of Artificial Inteligence in Education,International Journal of Artificial Intelligence in Education
International Journal of Bilingual Education and Bilingualism,International Journal of Bilingual Education and Bilingualism
International Journal of Cardiology,International Journal of Cardiology
International Journal of Central Banking,International Journal of Central Banking
International Journal of Education,International Journal of Education
International Journal of Educational Development,International Journal of Educational Development
International Journal of Emergency Medicine,International Journal of Emergency Medicine
International Journal of Endocrinology and Metabolism,International Journal of Endocrinology and Metabolism
International Journal of Environmental Research and Public Health,International Journal of Environmental Research and Public Health
International Journal of Epidemiology,International Journal of Epidemiology
International Journal of Finance & Economics,International Journal of Finance & Economics
International Journal of Gynecology and Obstetrics,International Journal of Gynecology and Obstetrics
International Journal of Health Planning and Management,International Journal of Health Planning and Management
International Journal of Health Policy and Management,International Journal of Health Policy and Management
International Journal of Human-Computer Studies,International Journal of Human-Computer Studies
International Journal of Industrial Organization,International Journal of Industrial Organization
International Journal of Infectious Diseases,International Journal of Infectious Diseases
International Journal of Mental Health Systems,International Journal of Mental Health Systems
International Journal of Pharmacy Practice,International Journal of Pharmacy Practice
International Journal of Preventive Medicine,International Journal of Preventive Medicine
International Journal of Primatology,International Journal of Primatology
International Journal of Public Health,International Journal of Public Health
International Journal of Research and Public Health,International Journal of Research and Public Health
International Migration,International Migration
International Monetary Fund,International Monetary Fund
International Organization,International Organization
International Political Science Review,International Political Science Review
International Relations of the Asia-Pacific,International Relations of the Asia-Pacific
International Review of Economics & Finance,International Review of Economics & Finance
International Studies Quarterly,International Studies Quarterly
J Mark Access Health Policy,Journal of Market Access and Health Policy
JACC Clinical Electrophysiol,JACC Clinical Electrophysiology
Jackson Hole Economic Symposium Conference Proceedings,Jackson Hole Economic Symposium Conference Proceedings
Jacobs Levy Equity Management Center for Quantitative Financial Research Paper,Jacobs Levy Equity Management Center for Quantitative Financial Research Paper
Jakarta Globe,Jakarta Globe
JAMA,JAMA
JAMA Health Forum,JAMA Health Forum
JAMA Internal Medicine,JAMA Internal Medicine
JAMA Network,JAMA Network
JAMA Network Open,JAMA Network Open
JAMA Neurology,JAMA Neurology
JAMA oncology,JAMA Oncology
JAMA Pediatrics,JAMA Pediatrics
JAMA Surgery,JAMA Surgery
JMIR Formative Research,JMIR Formative Research
JMIR Public Health and Surveillance,JMIR Public Health and Surveillance
John Wiley & Sons,John Wiley & Sons
Johns Hopkins University,Johns Hopkins University
Jossey-Bass,Jossey-Bass
"Journal Economía Chilena, Banco Central de Chile","Journal Economía Chilena, Banco Central de Chile"
Journal of Acquires Imune Deficiency Syndromes,Journal of Acquired Immune Deficiency Syndromes
Journal of Adolescent Health,Journal of Adolescent Health
Journal of Affective Disorders,Journal of Affective Disorders
Journal of African Economies,Journal of African Economies
Journal of American Society Nephrology,Journal of American Society Nephrology
Journal of Applied Developmental Psychology,Journal of Applied Developmental Psychology
Journal of Banking & Finance,Journal of Banking & Finance
Journal of Behavioral Medicine,Journal of Behavioral Medicine
Journal of Boilogical Chemestry,Journal of Biological Chemistry
"Journal of Cachaxia,  Sarcopenia and Muscle","Journal of Cachexia,  Sarcopenia and Muscle"
Journal of Cardiovasc Electrophysiol,Journal of Cardiovascular Electrophysiology
Journal of Causal Inference,Journal of Causal Inference
Journal of Child Language,Journal of Child Language
Journal of Clinical Investigation,Journal of Clinical Investigation
Journal of Comparative Economics,Journal of Comparative Economics
Journal of Conflict Resolution,Journal of Conflict Resolution
Journal of Contextual Economics – Schmollers Jahrbuch,Journal of Contextual Economics – Schmollers Jahrbuch
Journal of Crohns and Colitis,Journal of Crohns and Colitis
Journal of Curriculum Studies,Journal of Curriculum Studies
Journal of Democracy,Journal of Democracy
Journal of Development Economics,Journal of Development Economics
Journal of Developmental and Behavioral Pediatrics,Journal of Developmental and Behavioral Pediatrics
Journal of Developmental Origins of Health and Disease,Journal of Developmental Origins of Health and Disease
Journal of Diabetes Reserach,Journal of Diabetes Reserach
Journal of Econometrics,Journal of Econometrics
Journal of Economic Behavior & Organization,Journal of Economic Behavior & Organization
Journal of Economic Criminology,Journal of Economic Criminology
Journal of Economic Dynamics and Control,Journal of Economic Dynamics and Control
Journal of Economic Education,Journal of Economic Education
Journal of Economic Literature,Journal of Economic Literature
Journal of Economic Methodology,Journal of Economic Methodology
Journal of Economic Perspective,Journal of Economic Perspectives
Journal of Economic Perspectives,Journal of Economic Perspectives
Journal of Economic Theory,Journal of Economic Theory
Journal of Economics,Journal of Economics
Journal of Economics and Business,Journal of Economics and Business
Journal of Education,Journal of Education
Journal of Educational and Behavioral Statistics,Journal of Educational and Behavioral Statistics
Journal of Educational Measurement,Journal of Educational Measurement
Journal of Educational Psychology,Journal of Educational Psychology
Journal of Elections,Journal of Elections
Journal of Empirical Finance,Journal of Empirical Finance
Journal of Epidemiology and Community Health,Journal of Epidemiology and Community Health
Journal of Experimental Child Psychology,Journal of Experimental Child Psychology
Journal of Family Psychology,Journal of Family Psychology
Journal of Financial Economics,Journal of Financial Economics
Journal of General Internal Medicine,Journal of General Internal Medicine
Journal of Global Health,Journal of Global Health
Journal of Global Security Studies,Journal of Global Security Studies
Journal of Health Care for the Poor and Underserved,Journal of Health Care for the Poor and Underserved
Journal of Health Economics,Journal of Health Economics
"Journal of Health Politics, Policy and Law","Journal of Health Politics, Policy and Law"
"Journal of Health, Population, and Nutrition","Journal of Health, Population, and Nutrition"
Journal of Human Capital,Journal of Human Capital
Journal of Human Hypertension,Journal of Human Hypertension
Journal of Human Resources,Journal of Human Resources
Journal of Infectious Diseases,Journal of Infectious Diseases
Journal of Innovation & Knowledge,Journal of Innovation & Knowledge
Journal of Intellectual Capital,Journal of Intellectual Capital
Journal of Internal Medicine,Journal of Internal Medicine
Journal of International Economics,Journal of International Economics
Journal of International Economics ,Journal of International Economics
Journal of International Money and Finance,Journal of International Money and Finance
Journal of Japanese Studies,Journal of Japanese Studies
Journal of Labor Economics,Journal of Labor Economics
Journal of Law Economics,Journal of Law Economics
"Journal of Law, Economics & Organization","Journal of Law, Economics and Organization"
"Journal of Law, Economics and Organization","Journal of Law, Economics and Organization"
Journal of Learning Analytics,Journal of Learning Analytics
Journal of Medical Internet Research,Journal of Medical Internet Research
Journal of Microbiology,Journal of Microbiology
Journal of Monetary Economics,Journal of Monetary Economics
Journal of Nutrition,Journal of Nutrition
Journal of Oral Maxillofacial,Journal of Oral and Maxillofacial Surgery
Journal of Orthopaedic Science,Journal of Orthopaedic Science
Journal of Peace Research,Journal of Peace Research
Journal of Personality and Social Psychology,Journal of Personality and Social Psychology
Journal of Pharmaceutical Policy and Practice,Journal of Pharmaceutical Policy and Practice
Journal of Policy Analysis and Management,Journal of Policy Analysis and Management
"Journal of Policy Analysis and Management,",Journal of Policy Analysis and Management
Journal of Political Economy,Journal of Political Economy
Journal of Political Economy Macroeconomics,Journal of Political Economy Macroeconomics
Journal of Politics,Journal of Politics
Journal of Portfolio Management,Journal of Portfolio Management
Journal of Positive Psychology,Journal of Positive Psychology
Journal of Public Economics,Journal of Public Economics
Journal of Public Economics Plus,Journal of Public Economics Plus
Journal of Public Health,Journal of Public Health
Journal of Public Health Management and Practice,Journal of Public Health Management and Practice
Journal of Regional Science,Journal of Regional Science
Journal of Research on Educational Effectiveness,Journal of Research on Educational Effectiveness
Journal of Risk and Insurance,Journal of Risk and Insurance
Journal of Speech and Hearing Research,Journal of Speech and Hearing Research
Journal of Statistical Planning and Inference,Journal of Statistical Planning and Inference
Journal of Statistical Software,Journal of Statistical Software
Journal of Statistics,Journal of Statistics
Journal of Statistics and Data Science,Journal of Statistics and Data Science
Journal of the American College of Cardiology,Journal of the American College of Cardiology
Journal of the American Pharmacists Association,Journal of the American Pharmacists Association
Journal of the American Statistical Association,Journal of the American Statistical Association
Journal of the American Statistical Association ,Journal of the American Statistical Association
Journal of the Endocrine Society,Journal of the Endocrine Society
Journal of the European Economic Association,Journal of the European Economic Association
Journal of the Royal Statistical Society,Journal of the Royal Statistical Society
Journal of the Royal Statistical Society Series A: Statistics in Society,Journal of the Royal Statistical Society Series A: Statistics in Society
"Journal of the Royal Statistical Society, Series B","Journal of the Royal Statistical Society, Series B"
"Journal of Toxicology and Environmental Health, Part B","Journal of Toxicology and Environmental Health, Part B"
Journal of Trumatic Stress,Journal of Traumatic Stress
Journal of Urban Economics,Journal of Urban Economics
Journal of Urban Economics ,Journal of Urban Economics
Journal of Virology,Journal of Virology
Journal on Education in Emergencies,Journal on Education in Emergencies
Journal on Research in Education Effectiveness,Journal on Research in Education Effectiveness
J-Pal,J-PAL
Kathmandu University Medical Journal,Kathmandu University Medical Journal
Keynote Address for Plenary Session at Seventh Global Symposium on Health Systems Researc,Keynote Address for Plenary Session at Seventh Global Symposium on Health Systems Researc
Lancet,The Lancet
Lancet Diabetes and Endocrinology,The Lancet Diabetes and Endocrinology
Lancet Global Health,The Lancet Global Health
Lancet Planet Health,The Lancet Planet Health
Lancet Psychiatry,The Lancet Psychiatry
Lancet Public Health,The Lancet Public Health
Lancet Regional Health,The Lancet Regional Health
Lancet Regional Health West Pacific,The Lancet Regional Health West Pacific
Lancet Regional Helath Americas,The Lancet Regional Health Americas
Latin American Economic Review,Latin American Economic Review
Lebanese Center for Policy Studies,Lebanese Center for Policy Studies
Let’s Talk Development (a World Bank Blog),Let’s Talk Development
Lincoln Land Institute and Columbia Press,Lincoln Land Institute and Columbia Press
London Publishing Partnership,London Publishing Partnership
London Review of International Law,London Review of International Law
London: I.B. Tauris,I.B. Tauris
Los Angeles Times,Los Angeles Times
LSC Communications,LSC Communications
Lulu Publisher,Lulu Publisher
Malaria Journal,Malaria Journal
Management Decision,Management Decision
Management Science,Management Science
